"","new_id","colony","band_number","species_code","age","sex","fat","wing","weight","hour","minute","initials","day","month","year","banding_site","band.size","notes","tag","detected_Motus","measured","Notes","day_end_breeding","month_end_breeding","type","end_date_checked","day_end_colony","month_end_colony","release","last_day","ordinal_release","ordinal_last_day","lat2","lon2","id","count","ordinal_date","count2","date","state_evening","twilight","time_since_sunset","state_morning","sunrise","time_since_sunrise","roost","distance","time_departure","hour_sunset","direction"
"518","166 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,13,166,1123200,2015-06-15 11:39:00,"arrival final",2015-06-15 01:36:54,-13.4444137414296,"departure",2015-06-16 09:08:25,19.440784629186,1,35.9879298704287,2015-06-16 01:23:27,1,91.1061886114255
"571","167 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,14,167,1209600,2015-06-16 11:39:00,"arrival final",2015-06-16 01:37:20,-3.02165224949519,"departure",2015-06-17 09:08:27,7.05930120547613,1,35.9879298704287,2015-06-17 01:34:19,1,91.1061886114255
"624","168 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,15,168,1296000,2015-06-17 11:39:00,"arrival",2015-06-17 01:37:45,-27.2288695851962,"departure",2015-06-18 09:08:31,5.2719816327095,1,35.9879298704287,2015-06-18 01:10:31,1,91.1061886114255
"677","169 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,16,169,1382400,2015-06-18 11:39:00,"arrival final",2015-06-18 01:38:08,-18.5155229290326,"departure",2015-06-19 09:08:38,21.3124024470647,1,35.9879298704287,2015-06-19 01:19:37,1,91.1061886114255
"730","170 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,17,170,1468800,2015-06-19 11:39:00,"arrival",2015-06-19 01:38:28,-19.3311084945997,"departure",2015-06-20 09:08:47,11.6475166122119,1,35.9879298704287,2015-06-20 01:19:08,1,91.1061886114255
"781","171 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,18,171,1555200,2015-06-20 11:39:00,"arrival final",2015-06-20 01:38:46,6.60817071596781,"departure",2015-06-21 09:08:58,15.7776532212893,1,35.9879298704287,2015-06-21 01:45:22,1,91.1061886114255
"831","172 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,19,172,1641600,2015-06-21 11:39:00,"arrival",2015-06-21 01:39:01,-27.0305960337321,"departure",2015-06-22 09:09:11,7.81985043684641,1,35.9879298704287,2015-06-22 01:12:00,1,91.1061886114255
"882","173 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,20,173,1728000,2015-06-22 11:39:00,"arrival",2015-06-22 01:39:15,-15.4303613225619,"departure",2015-06-23 09:09:27,51.1411882042885,1,35.9879298704287,2015-06-23 01:23:49,1,91.1061886114255
"932","174 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,21,174,1814400,2015-06-23 11:39:00,"arrival final",2015-06-23 01:39:26,-27.1074535369873,"departure",2015-06-24 09:09:45,9.50878749688466,1,35.9879298704287,2015-06-24 01:12:19,1,91.1061886114255
"980","175 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,22,175,1900800,2015-06-24 11:39:00,"arrival",2015-06-24 01:39:34,-13.3115773280462,"departure",2015-06-25 09:10:05,16.9231427629789,1,35.9879298704287,2015-06-25 01:26:16,1,91.1061886114255
"1029","176 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,23,176,1987200,2015-06-25 11:39:00,"arrival final",2015-06-25 01:39:41,-19.3424805680911,"departure",2015-06-26 09:10:27,10.0014541467031,1,35.9879298704287,2015-06-26 01:20:20,1,91.1061886114255
"1075","177 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,24,177,2073600,2015-06-26 11:39:00,"arrival",2015-06-26 01:39:44,-24.7332878192266,"departure",2015-06-27 09:10:52,22.9109596451124,1,35.9879298704287,2015-06-27 01:15:00,1,91.1061886114255
"1119","178 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,25,178,2160000,2015-06-27 11:39:00,NA,2015-06-27 01:39:46,-81.87508,NA,NA,NA,0,35.9879298704287,2015-06-28 00:17:53,0,91.1061886114255
"1159","179 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,26,179,2246400,2015-06-28 11:39:00,"arrival",2015-06-28 01:39:45,-11.6439957737923,"departure",2015-06-29 09:11:47,23.2926857352257,1,35.9879298704287,2015-06-29 01:28:06,1,91.1061886114255
"1199","180 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,27,180,2332800,2015-06-29 11:39:00,"arrival final",2015-06-29 01:39:41,-48.3803614139557,"departure",2015-06-30 09:12:18,39.416225151221,1,35.9879298704287,2015-06-30 00:51:19,0,91.1061886114255
"1242","181 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,28,181,2419200,2015-06-30 11:39:00,"arrival",2015-06-30 01:39:36,-59.5428934574127,"departure",2015-07-01 09:13:34,74.4469614942869,1,35.9879298704287,2015-07-01 00:40:03,0,91.1061886114255
"1282","182 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,29,182,2505600,2015-07-01 11:39:00,"arrival",2015-07-01 01:39:27,-60.2848064541817,"departure",2015-07-02 09:12:45,36.1250074227651,1,35.9879298704287,2015-07-02 00:39:10,0,91.1061886114255
"1319","183 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,30,183,2592000,2015-07-02 11:39:00,"arrival",2015-07-02 01:39:17,-45.4465162873268,"departure",2015-07-03 09:14:01,26.0094575444857,1,35.9879298704287,2015-07-03 00:53:50,0,91.1061886114255
"1354","184 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,31,184,2678400,2015-07-03 11:39:00,"arrival",2015-07-03 01:39:03,-61.675192407767,"departure",2015-07-04 09:14:39,22.3728436628977,1,35.9879298704287,2015-07-04 00:37:23,0,91.1061886114255
"1391","185 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,32,185,2764800,2015-07-04 11:39:00,"arrival",2015-07-04 01:38:48,-106.155387985706,"departure",2015-07-05 09:14:58,35.4574990669886,1,35.9879298704287,2015-07-03 23:52:38,23,91.1061886114255
