"","X","new_id","colony","band_number","species_code","age","sex","fat","wing","weight","hour","minute","initials","day","month","year","banding_site","band.size","notes","tag","detected_Motus","measured","Notes","day_end_breeding","month_end_breeding","type","end_date_checked","day_end_colony","month_end_colony","release","last_day","ordinal_release","ordinal_last_day","lat2","lon2","id","count","ordinal_date","count2","date","state_evening","twilight","time_since_sunset","state_morning","sunrise","time_since_sunrise","roost","distance","time_departure","hour_sunset","direction","air_temp","precip","precip_rate","cloud_cover","temp","uwind"
"11",359,"163 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,10,163,864000,"2015-06-12 11:39:00",NA,"2015-06-12 01:35:21",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-06-13 00:13:28",0,91.1061886114255,289.969264205221,41.6574412127039,2.15395272698646e-05,69.1049644218399,16.9692642052215,4.64463923321293
"12",412,"164 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,11,164,950400,"2015-06-13 11:39:00",NA,"2015-06-13 01:35:54",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-06-14 00:14:01",0,91.1061886114255,293.172631306976,38.2306278963299,2.90565826226006e-05,47.1868312615573,20.1726313069758,-1.99220236661375
"13",465,"165 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,12,165,1036800,"2015-06-14 11:39:00",NA,"2015-06-14 01:36:25",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-06-15 00:14:32",0,91.1061886114255,295.232053472674,45.8504088628106,8.44121041844927e-06,78.4563051680204,22.232053472674,2.46700218427584
"14",518,"166 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,13,166,1123200,"2015-06-15 11:39:00","arrival final","2015-06-15 01:36:54",-13.4444137414296,"departure","2015-06-16 09:08:25",19.440784629186,1,35.9879298704287,"2015-06-16 01:23:27",1,91.1061886114255,294.400903759219,41.0064367121481,4.20149646205168e-05,82.0863288103555,21.4009037592187,2.79294765563628
"15",571,"167 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,14,167,1209600,"2015-06-16 11:39:00","arrival final","2015-06-16 01:37:20",-3.02165224949519,"departure","2015-06-17 09:08:27",7.05930120547613,1,35.9879298704287,"2015-06-17 01:34:19",1,91.1061886114255,292.763324344001,15.4543164472497,-2.3283064e-10,32.4792574602321,19.7633243440014,1.01704641715957
"16",624,"168 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,15,168,1296000,"2015-06-17 11:39:00","arrival","2015-06-17 01:37:45",-27.2288695851962,"departure","2015-06-18 09:08:31",5.2719816327095,1,35.9879298704287,"2015-06-18 01:10:31",1,91.1061886114255,293.433558412956,31.952834568293,1.37991635514765e-05,85.6163714537667,20.4335584129558,-1.6799988442718
"17",677,"169 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,16,169,1382400,"2015-06-18 11:39:00","arrival final","2015-06-18 01:38:08",-18.5155229290326,"departure","2015-06-19 09:08:38",21.3124024470647,1,35.9879298704287,"2015-06-19 01:19:37",1,91.1061886114255,292.893985139094,35.0546605739862,2.77799109523169e-05,91.3308681486001,19.8939851390944,4.03546196748509
"18",730,"170 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,17,170,1468800,"2015-06-19 11:39:00","arrival","2015-06-19 01:38:28",-19.3311084945997,"departure","2015-06-20 09:08:47",11.6475166122119,1,35.9879298704287,"2015-06-20 01:19:08",1,91.1061886114255,291.18402051876,16.7523709253101,-2.3283064e-10,31.2004610207129,18.1840205187605,-1.99117854095746
"19",781,"171 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,18,171,1555200,"2015-06-20 11:39:00","arrival final","2015-06-20 01:38:46",6.60817071596781,"departure","2015-06-21 09:08:58",15.7776532212893,1,35.9879298704287,"2015-06-21 01:45:22",1,91.1061886114255,293.668173283574,35.3539249671409,3.45222061945386e-06,35.7780344190795,20.6681732835744,-1.36793307590515
"20",831,"172 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,19,172,1641600,"2015-06-21 11:39:00","arrival","2015-06-21 01:39:01",-27.0305960337321,"departure","2015-06-22 09:09:11",7.81985043684641,1,35.9879298704287,"2015-06-22 01:12:00",1,91.1061886114255,293.82952146253,24.0141570194783,2.13327300153973e-06,19.7618950100936,20.8295214625297,4.89089780431778
"21",882,"173 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,20,173,1728000,"2015-06-22 11:39:00","arrival","2015-06-22 01:39:15",-15.4303613225619,"departure","2015-06-23 09:09:27",51.1411882042885,1,35.9879298704287,"2015-06-23 01:23:49",1,91.1061886114255,295.5215735606,40.1714946807817,0.000232677227825513,79.4953692520514,22.5215735606002,0.266997510806888
